Title,Movie ID,Release Date,Rating,Genre,Synopsis,Language,Movie Link,TV Rating,Appropriateness
The Shameless,1257409,2025-03-20,2.5,"Drama, Romance","In the dead of night, Renuka escapes from a Delhi brothel after stabbing a policeman to death. She takes refuge in a community of sex workers in northern India, where she meets Devika, a young girl condemned to a life of prostitution. Their bond develops into a forbidden romance. Together, they embark on a perilous journey to escape the law and forge their path to freedom.",hi,https://www.themoviedb.org/movie/1257409,N/A,Mature
Imagine Dragons: Live From The Hollywood Bowl (with the LA Film Orchestra),1429460,2025-03-20,4.8,Music,"Globally renowned, GRAMMY® Award-winning band Imagine Dragons enlisted the LA Film Orchestra to perform their biggest hits and new chart-topping songs against the backdrop of the iconic Hollywood Bowl. The band fuses their explosive, cathartic sound with gorgeous, intricate symphonic arrangements played on stage by over 50 musicians.",en,https://www.themoviedb.org/movie/1429460,N/A,Everyone
Die Like a Man,1359939,2025-03-20,0,"Drama, Crime","Set in the heart of a rapidly gentrifying west Los Angeles neighborhood still reeling from decades of guns and gang violence across the four corners near Venice, a working-class single mom desperately tries to wean her 17-year-old son Freddy away from a veteran gangster who has become a father fig-ure to him. Die Like a Man explores the rites of passage and codes of masculinity that are at the fore-front of our current era's zeitgeist, as well as the acceleration of gentrification and its effect on com-munities in LA today.",en,https://www.themoviedb.org/movie/1359939,N/A,Mature
The Light,1143971,2025-03-20,6,Drama,"A portrait of a modern family between collapse and new beginnings dealing with the big issues of our times, in a world that is reeling. Tim, Milena, their almost grown-up twins Frieda and Jon and their illegitimate son Dio - this is the Engels family, who seemingly have nothing left to hold them together when housekeeper Farrah enters their lives. The mysterious Syrian woman puts the Engels' emotional world to an unexpectedly wild test.",de,https://www.themoviedb.org/movie/1143971,N/A,Everyone
U.S. Palmese,1130056,2025-03-20,6.875,Comedy,"In Palmi, a small town in Calabria, Don Vincenzo, a genial retired farmer, has a crazy idea to revive the local soccer team by organizing a bizarre fundraiser hiring the Italian major league Serie A, soccer player Etienne Morville, a bad-tempered guy but among the strongest in the world. Albeit unwillingly, Morville leaves Milan to move to Palmi and try to save his image. In the small town he will come up against a reality of sincerity, which will lead everyone on an unforgettable experience.",it,https://www.themoviedb.org/movie/1130056,N/A,Everyone
Wishbone,1227274,2025-03-20,0,Drama,"When the twenty eight -year-old Kostas who has recently become a security guard in a public hospital, is forced to take over the guardianship of his little niece, he gets involved in a medical scam to make ends meet.",el,https://www.themoviedb.org/movie/1227274,N/A,Everyone
The Academy,1303232,2025-03-20,5,Drama,"Jojo, a young art student, discovers the microcosm of an art academy with all of its opportunities and contradictions.",de,https://www.themoviedb.org/movie/1303232,N/A,Everyone
The Firebird,1248276,2025-03-20,6.5,Drama,"An actress and theater dancer flies to India to find her mother, who once abandoned her and joined a certain sect. Soon she no longer understands whether what she sees is happening in India or whether it is the scenery inside her native theater. Masks, dolls, songs - does this happen in a small town square or on one of the venues in St. Petersburg?",ru,https://www.themoviedb.org/movie/1248276,N/A,Everyone
National Theatre Live: The Other Place,1434672,2025-03-20,7.3,Drama,"Two sisters reunite on the anniversary of the death of their father. Their uncle has remodelled their family home, in an attempt at a fresh start. But one sister’s sudden reappearance threatens to shatter this fragile idyll as she demands justice for the pain she carries.Amid the debris and the new extension, guilt, grief and greed battle it out in the family’s competing dreams of their future. When we are faced with the suffering of others, even those closest to us, can we look away?",en,https://www.themoviedb.org/movie/1434672,N/A,Everyone
Companion,1177375,2025-03-20,5,Drama,"To their respective conservative Indian parents, Vir and Nitya are a happily married couple living in Parramatta, Sydney. They love to play the sitar together, she is a successful dentist, and he is studying for his accounting exam. However, as the cultural expectations ingrained into them from childhood start to take their toll, they both face challenges in their personal and professional lives. After reaching a breaking point, Vir comes out to Nitya about his sexuality, which causes a rift between them and brings shame to their families. Vir then decides to explore his own sexual identity with another man.",en,https://www.themoviedb.org/movie/1177375,N/A,Mature
It's the Minimum Reduction of the Abyss,1436703,2025-03-20,7,,"Inspired by a poem by Cristina Peri Rossi, this intimate film explores the distance that can only exist between lovers.",es,https://www.themoviedb.org/movie/1436703,N/A,Everyone
NEMURUBAKA -Hypnic Jerks-,1357797,2025-03-20,9,"Comedy, Drama","The story centers on the daily life of college dorm roommates Yumi Irisu and Ruka Kujirai. Ruka, the older of the two, is constantly penniless despite her being active in a band. Irusu works part-time at a second-hand bookstore.",ja,https://www.themoviedb.org/movie/1357797,N/A,Everyone
The Boy and the Dog,1317090,2025-03-20,7.7,Drama,"New Takahisa Zeze movie, adaptation of the book ""Shonen to Inu."" To be released in Spring 2025.",ja,https://www.themoviedb.org/movie/1317090,N/A,Everyone
A Bad Summer,1378734,2025-03-20,9.8,"Drama, Crime","Sasaki (Takumi Kitamura) is a sincere civil servant, working at city hall. Due to his timid personality, he can't properly deal with nasty people, including a single mother on the verge of giving up her own child, another civil servant pressing him to have a physical relationship, and a person who receives welfare benefits unfairly. His passivity leads him to get caught up in a terrible crime.",ja,https://www.themoviedb.org/movie/1378734,N/A,Everyone
Milton Bituca Nascimento,1378051,2025-03-20,6.5,"Documentary, Music","Milton Nascimento is a singer, a songwriter and a connoisseur of multiple instruments.  Music is at the core of his being. He is also considered one of the most important Brazilian artists in its history, with musical partnerships (and friendships) with all of Brazil’s greats, and several Grammys to his name. The artist’s history and legacy are explored in this film, whose starting point is Nascimento’s farewell tour.",pt,https://www.themoviedb.org/movie/1378051,N/A,Everyone
A Few Feet Away,1231695,2025-03-20,8,"Comedy, Adventure, Drama","Santiago, a 20 year-old twink shaped by the anonymity of the virtual world, becomes frustrated with gay dating apps and starts obsessively looking for a real experience in the Buenos Aires nightlife.",es,https://www.themoviedb.org/movie/1231695,N/A,Everyone
Zlatan's Nose,1400110,2025-03-20,2,Documentary,"A film team hires a private detective to help them make a ""true crime"" about a nose stolen from the statue of the famous soccer player Zlatan Ibrahimović, but soon both the investigation and the film make an unexpected turn.",sv,https://www.themoviedb.org/movie/1400110,N/A,Everyone
Shogun's Ninja,1438203,2025-03-20,0,"Action, History",The descendants of the legendary Fuma ninja clan face off against the Tokugawa shogun family in a succession struggle.,ja,https://www.themoviedb.org/movie/1438203,N/A,Everyone
The Ballad,1176396,2025-03-20,6,"Comedy, Thriller","A fed up food delivery worker chooses a split second act of rebellion - one that results in an awkward, spiraling dance between the classes of 21st century Sweden.",sv,https://www.themoviedb.org/movie/1176396,N/A,Everyone
Quitter la ruche,1364742,2025-03-20,0,"Drama, Comedy",,fr,https://www.themoviedb.org/movie/1364742,N/A,Everyone
Oy'una Geldik,1436815,2025-03-20,6,Comedy,,tr,https://www.themoviedb.org/movie/1436815,N/A,Everyone
Ambivalence,1440404,2025-03-20,6,"Thriller, War, Action, Drama","A group of mercenaries race against others to recover a mysterious package, only to discover that its contents will tear their loyalties apart.",en,https://www.themoviedb.org/movie/1440404,N/A,Everyone
Douglas Adams: The Man Who Imagined Our Future,1451707,2025-03-20,10,Documentary,"Author of The Hitchhiker's Guide To The Galaxy, polymath Douglas Adams was a pioneer of science fiction, comedy, technology and environmental activism.  We're on a journey with Douglas Adams - diving into the broad questions of life, the universe and everything at a time when we are all asking questions of ourselves and our place on Earth - and our fear of destroying it. Campaigning for endangered species and the coming storm of climate change, he was years ahead of his time.  Optimistic about the infinite possibilities that computers will bring, obsessing with the art of writing, while exploring parallel dimensions and artificial intelligence, his philosophy and ideas are meaningful, and visionary.",en,https://www.themoviedb.org/movie/1451707,N/A,Everyone
The Beloved Remains,1446066,2025-03-20,0,"Horror, Thriller","A short film, set two years after the main event of the horror novel of the same name, written by Sepia Gore.",th,https://www.themoviedb.org/movie/1446066,N/A,Mature
Somnium,1289893,2025-03-20,0,"Science Fiction, Thriller, Drama","With hopes of making it big in LA, small-town Gemma takes the overnight shift at a mysterious sleep clinic, Somnium, but soon finds herself trapped in its web of dark secrets.",en,https://www.themoviedb.org/movie/1289893,N/A,Everyone
Dead Man's Switch,1206969,2025-03-20,0,Drama,"Dalia (42), discovers that her husband has vanished without a trace. As her life and her job as a subway driver begin to collapse; the violent indifference of her environment engulfs her in a dark tunnel that seems to lead nowhere.",es,https://www.themoviedb.org/movie/1206969,N/A,Everyone
Dad Croaked on Saturday,1033786,2025-03-20,7,Drama,"30-year-old Muscovite Aiko’s father, with whom she had not communicated for many years, died - he was a tyrant, and she does not feel sorry for him. But for some reason she goes to Kazakhstan for the funeral, where she sees her father’s second family for the first time: the sister is unbearable, the brother is out of this world, the stepmother is the same age as Aiko herself. And the strangest thing is that for them dad was completely different.",ru,https://www.themoviedb.org/movie/1033786,N/A,Everyone
Challe Yaar Coachella,1451523,2025-03-20,0,,"A little boy dreams of becoming like his hero, Diljit Dosanjh. But will he turn his dream into reality, or will it remain just a dream? Watch to find out!",pa,https://www.themoviedb.org/movie/1451523,N/A,Everyone
Digimon Adventure-BEYOND-,1451616,2025-03-20,0,"Science Fiction, Adventure, Action, Animation","Time has passed since that summer adventure, and there are even more children with partner Digimon now. However, because of their unique nature, many children face the looming shadows of persecution and being targeted for military use. While Taichi and Yamato are working to rescue children, they are attacked by mysterious Digimon.",ja,https://www.themoviedb.org/movie/1451616,N/A,Everyone
RB&O Live 2024/25: Romeo and Juliet,1296936,2025-03-20,6,,"The Capulets and Montagues are sworn enemies. Yet it is love at first sight for Romeo Montague and Juliet Capulet when they meet each other at the Capulet ball, into which Romeo has snuck. The two fall in love and they profess their devotion to each other at Juliet’s balcony. They secretly get married.",en,https://www.themoviedb.org/movie/1296936,N/A,Everyone
L'albero,1359180,2025-03-20,6.5,Drama,"Bianca is 23 years old, and it already feels like too much. She has left her parents' home and is supposed to attend university, but she never goes. She has a few specific obsessions: the passing of time, cocaine, and Angelica. Since they started living together, everything seems to move faster, spiraling downwards. Even their friendship stumbles into addiction and becomes confused with love. Bianca keeps a notebook, jotting down notes for her books. Still, she wishes she could write everything in it: that youth is painful and already slipping away, that friendship breaks your heart, and that we constantly lose everything — and yet, maybe, in the end — between the night streets of Rome, the boys of Naples, and the tree that stands silently, visible through the window — nothing will be truly lost.",it,https://www.themoviedb.org/movie/1359180,N/A,Everyone
Fighter,1399686,2025-03-20,2.5,Documentary,"GK, a 30-year-old MMA-fighter, who`s whole identity was built on his physicality, faces a life-altering moment after a split-second decision to dive headfirst into the ocean. When told to expect a life in a wheelchair he gives himself two years to get back on his feet - or else he doesn’t want to live. This leads him down a rabbit hole of alternative treatments that sells hope, while the fear of his already fragile relationship ending pushes him to figure out who he really is. He seeks answers in the deep- seated childhood traumas that had pushed him to extreme, self-destructive physical limits. Amidst the darkness, he embarks on an inspiring journey of transformation proving that life’s worth goes far beyond physical abilities.",no,https://www.themoviedb.org/movie/1399686,N/A,Everyone
Girassol Vermelho,1414493,2025-03-20,0,"Drama, Fantasy","Girassol Vermelho is a film inspired by Murilo Rubião, a master of Brazilian magical realism, about the journey of Romeu, a man who leaves his past behind in search of freedom. By chance, he arrives in a strange city where an oppressive and pathetic system, which does not allow for questioning, drags him into a series of interrogations and tortures. In this absurd world, Romeo realizes that he has lost his greatest value: freedom. Full of pain and fury, Romeu, delirious, embarks on a new and even stranger journey.",pt,https://www.themoviedb.org/movie/1414493,N/A,Everyone
The Finisher: Jasmin Paris and the Barkley Marathons,1452083,2025-03-20,0,Documentary,"In 2024, Jasmin Paris made history by becoming the first woman to finish the Barkley Marathons, widely known as one of the hardest races in the world and a defining test in ultrarunning and trail running. With over 100 miles of brutal terrain, cryptic course markings, and a near-impossible success rate, the Barkley has long been considered the ultimate challenge in endurance sports. The Finisher"" chronicles Jasmin’s extraordinary three-year journey (2022–2024) to achieve this groundbreaking feat.",en,https://www.themoviedb.org/movie/1452083,N/A,Everyone
Beef,1390154,2025-03-20,8,"Drama, Music","Lati, a young rapper of African descent, must confront her mother to succeed in the world of freestyle.",es,https://www.themoviedb.org/movie/1390154,N/A,Everyone
Hero Friend-U,1078769,2025-03-20,0,"Comedy, Romance",'Hero Friend-U' is a new age rom-com entertainer centered around the everlasting global pandemic 'Friendzone'. The film will be released in Malaysian cinemas nationwide soon.,ta,https://www.themoviedb.org/movie/1078769,N/A,Everyone
Nürburgring - 100 Jahre grüne Hölle,1408737,2025-03-20,9,Documentary,,de,https://www.themoviedb.org/movie/1408737,N/A,Everyone
Ange & The Boss - Puskas in Australia,1369521,2025-03-20,0,Documentary,"The great Hungarian striker Ferenc Puskas storied playing and coaching career ended in the relative backwater of Middle Park in Melbourne, coaching a South Melbourne Hellas team captained by current Spurs manager Ange Postecoglou. A sporting story of a humble, football colossus in soccer's new world, full of quirky anecdotes and a ripping championship finale. And also a story of Australia's ethnic football heritage, and how it sustained new arrivals.",en,https://www.themoviedb.org/movie/1369521,N/A,Everyone
I See the Demon,1185790,2025-03-20,9,"Horror, Science Fiction","At her surprise birthday party, an emotionally vulnerable woman experiences unexplainable phenomena that threaten to turn the best night of her life into a never-ending nightmare.",en,https://www.themoviedb.org/movie/1185790,N/A,Everyone
Super courier,1438480,2025-03-20,0,"Action, Comedy","Timur is a kind-hearted courier who is always ready to help others, even at his own expense. One day, after defending a respected judge from a group of thugs, he receives an unusual offer—to become the driver for the judge’s daughter, Sabina. However, he soon realizes that his real job is to be her bodyguard, as a powerful enemy of the family is willing to do anything to take her away. When Sabina is kidnapped, Timur must cast aside his fears and become a hero to save her and uncover why she is so important to the criminals.",kk,https://www.themoviedb.org/movie/1438480,N/A,Everyone
Famiglia Imbarazzi - La maledizione dello zoccolo,1438069,2025-03-20,6,"Animation, Comedy",,it,https://www.themoviedb.org/movie/1438069,N/A,Everyone
Bad Blood,1292824,2025-03-20,0,"Science Fiction, Thriller","Korea is facing a population decline crisis, compounded by the emergence of a new virus called PT3 that destroys red blood cells. The only treatment is transfusion of young blood, but with only 11 million elderly patients eligible for donation and a mere 900,000 young donors, the price of blood has skyrocketed.",ko,https://www.themoviedb.org/movie/1292824,N/A,Everyone
Ma Meilleure Ennemie,1455659,2025-03-20,0,Music,Music video about the complicated relationship between Jinx and Ekko in the Arcane series.,fr,https://www.themoviedb.org/movie/1455659,N/A,Everyone
Jasmine That Blooms in Autumn,1436366,2025-03-20,7.5,"Drama, Romance",Love blossoms secretly between two old women at an elderly care home while the specter of patriarchy looms large overhead.,bn,https://www.themoviedb.org/movie/1436366,N/A,Everyone
Metropia,1435053,2025-03-20,5,Documentary,,es,https://www.themoviedb.org/movie/1435053,N/A,Everyone
A RAD Documentary,1438938,2025-03-20,8,Documentary,"The official documentary about the 1986 cult classic RAD. It features exclusive interviews with cast, crew and the BMX legends who performed the stunts, and revisits and explores iconic moments from RAD.",en,https://www.themoviedb.org/movie/1438938,N/A,Everyone
Yamada Zenjidou's Fukuoka Life,1452387,2025-03-20,0,TV Movie,"Used books, goods, cassette tapes, potted plants, and a large bulldog figurine in front of the store... ""Furuhon Sumiyoshi"" in Hakata Ward, Fukuoka City, is packed with carefully selected items. This is the story of the owner Yamada Zenji and the slightly eccentric customers who flock to this second-hand bookstore, living a leisurely, leisurely life in Fukuoka.  So, what kind of encounters will they have today?",ja,https://www.themoviedb.org/movie/1452387,N/A,Everyone
Sobreviventes do Pampa,1148061,2025-03-20,0,Documentary,"When the search for its origin takes him to the deep pampa, the documentary director discovers a recently recognized biome, little known and that presents more than half of its native area destroyed. So, its goal becomes to present the biome and its inhabitants, in a mosaic between the original peoples, quilombola communities, family cattle ranchers, agrarian reform settlers and rural entrepreneurs, awakening an awareness of belonging, with the objective of strengthening the preservation of the Pampa biome.",pt,https://www.themoviedb.org/movie/1148061,N/A,Everyone
The Stepmother's Bond,1451288,2025-03-20,0,Drama,"Paula and Raúl, who live with Dani, a six-year-old boy, could be just another couple... They could be, except that the boy is not Paula's son, and Paula faces the everyday challenge of proving that she deserves the title of mother. This conflict, along with the couple's separation and, as a result, the possibility that Paula might never see Dani again, sets up a story that puts the pain of a child at the heart of it.",es,https://www.themoviedb.org/movie/1451288,N/A,Everyone
The Royal Ballet: Romeo and Juliet,1451897,2025-03-20,7,"Romance, Music","An ancient family feud casts a long shadow over the town of Verona. In this hothouse of tension, brawls are quick to break out and both sides get caught in the crossfire.",en,https://www.themoviedb.org/movie/1451897,N/A,Everyone
Montevideo Inolvidable,1439033,2025-03-20,0,Documentary,,es,https://www.themoviedb.org/movie/1439033,N/A,Everyone
The Sound of Loveletters,1425360,2025-03-20,9,Documentary,"The frontman of the successful Danish band Ganger writes an album based on his parents' love letters, while rewriting his own life story in a charming and musical tale from the Danish West Coast.",da,https://www.themoviedb.org/movie/1425360,N/A,Everyone
IMO,496046,2025-03-20,0,Fantasy,,pt,https://www.themoviedb.org/movie/496046,N/A,Everyone
Death of the invisible man,1458601,2025-03-20,0,Animation,"The USA, early 60s. The court is considering an unusual case -- the defendant is an invisible man. His confession will be the key to understanding some comical and dramatical events that unfolded in the city.",en,https://www.themoviedb.org/movie/1458601,N/A,Everyone
Mask in a Dream,1448583,2025-03-20,0,"Drama, Thriller",The strange but intense dream of a musician the night after a tiring performance.,en,https://www.themoviedb.org/movie/1448583,N/A,Everyone
Out Like a Lamb,1214894,2025-03-20,0,Drama,"After his father’s death, a grieving Yorkshire farmer is left with a choice between moving on to a new life with his fiancée or dutifully keeping the family’s lambing farm and risk losing his chance at true happiness.",en,https://www.themoviedb.org/movie/1214894,N/A,Everyone
This Is Not a Love Song,1314315,2025-03-20,8,"Romance, Drama",A famous film director in midlife crisis invites his fatal ex-girlfriend to a lake hotel to help him write a script based on their relationship.,hr,https://www.themoviedb.org/movie/1314315,N/A,Everyone
Privilege,810832,2025-03-20,5,Documentary,Henri unravels the infrastructure of the LGBTQIA+ Community as we take a stroll through his daily life and get a grasp of what it truly means being different while trying to live an honest life in a world ruled by politics and religion.,de,https://www.themoviedb.org/movie/810832,N/A,Everyone
Philosophical and Physical Model of a Tea Bag,1458729,2025-03-20,0,Animation,"An ordinary day in the life of Shola and Pat-pat. They fish, walk and discuss the topic of existence. Shola finds the meaning of life in a tea bag, and Pat-pat completely disagrees. Where is the truth and are questions of universal philosophy so important in the face of friendship?",ru,https://www.themoviedb.org/movie/1458729,N/A,Everyone
Painted Gaze,1450292,2025-03-20,0,"Drama, Thriller","After a young girl discovers a fascinating art museum, she becomes attached to the artwork she comes across. Although over time, there is a strange shift in energy the more time she spends with the artwork.",en,https://www.themoviedb.org/movie/1450292,N/A,Everyone
"Tempo, O Curta.",1442689,2025-03-20,6,"Drama, Mystery",,pt,https://www.themoviedb.org/movie/1442689,N/A,Everyone
Hostages,1442141,2025-03-20,5.5,,"After a terrifying explosion in a hotel in London, three strangers escape together and hide out in a room. Hostages is a comedy about the 24hr news cycle, ""experts"" and whether or not social media is more important than people's lives....",en,https://www.themoviedb.org/movie/1442141,N/A,Everyone
Rainbow in Black and White,1458356,2025-03-20,0,,"A documentary that tells the story of the LGBTQ+ community, exploring its struggles, achievements, and the evolution of its rights over time, taking a journey from the personal to the universal. Through the experiences and testimonies of personalities, activists, artists, journalists, and prominent experts on the history of the LGBTQ+ community.",es,https://www.themoviedb.org/movie/1458356,N/A,Everyone
Mannerisms,1451336,2025-03-20,0,Crime,"When a high-as-hell nobody crashes a heist gone wrong, he finds himself on the run through Chicago’s trains with a crew of armed thieves closing in. His only shot at survival? A meeting with the elusive Mr. Nobody. But in a city where luck runs thin and bullets fly fast, making it out clean is never part of the plan.",en,https://www.themoviedb.org/movie/1451336,N/A,Everyone
Donde Tú Quieras,1447287,2025-03-20,0,Action,"Ramiro Guerrero, a successful professional, is wrongly accused of a devastating crime. With his life in shambles, he fights to prove his innocence while facing a web of corruption and danger.",es,https://www.themoviedb.org/movie/1447287,N/A,Everyone
Rang du lièvre,1447522,2025-03-20,0,Documentary,,fr,https://www.themoviedb.org/movie/1447522,N/A,Everyone
Que No Salga La Luna,1450209,2025-03-20,0,,"In a society where child marriage seems like a solution to family problems, Pichi, a 12-year-old girl, fears her first period because her mother has promised her to Ramón, a 36-year-old man who guarantees her a financial future.",es,https://www.themoviedb.org/movie/1450209,N/A,Everyone
Nobody's Angel,1442316,2025-03-20,3,"Documentary, Music","The five women in the Danish band Miss B. Haven rocked the 1980s at a time when men still had a monopoly on rock, but where a new movement was taking shape.",da,https://www.themoviedb.org/movie/1442316,N/A,Everyone
Metamorphosis,1209626,2025-03-20,0,Documentary,"In Metamorphosis, filmmaker and media artist Pim Zwier chooses a highly original form to depict the life and work of the German artist Maria Sibylla Merian (1647-1717), whose study of insects laid the foundations of entomology. Her most important work revolved around the metamorphosis of caterpillars into butterflies: she recorded the process in beautiful prints and engravings and was the first to draw the insects in combination with the plant on which they live.",nl,https://www.themoviedb.org/movie/1209626,N/A,Everyone
For my own reasons,1451630,2025-03-20,5,Documentary,I'm twenty. I need to be scared of things.,it,https://www.themoviedb.org/movie/1451630,N/A,Everyone
The Final,1450019,2025-03-20,0,Thriller,"A girl, shocked after receiving her mark on the final is put through a lot of stress, and she might be seeing her best friend, everywhere?",en,https://www.themoviedb.org/movie/1450019,N/A,Everyone
Oroboro,1428507,2025-03-20,7.2,Documentary,,pt,https://www.themoviedb.org/movie/1428507,N/A,Everyone
Mannequin Wedding,1449316,2025-03-20,0,Horror,Khmer horror movie.,km,https://www.themoviedb.org/movie/1449316,N/A,Everyone
Heavenly Bodies,1361929,2025-03-20,8,,"A boy and a girl go on a date; after it though, the girl must decide if she'll follow her inner thoughts or go with what society expects of her.",en,https://www.themoviedb.org/movie/1361929,N/A,Everyone
Growing Down,1054283,2025-03-20,3.5,Drama,"Sándor, a widower, is the only witness to a serious accident involving his stepdaughter and youngest son. Now he faces a dilemma: should he tell the truth and live with the consequences? Or lie and save his son from juvenile detention?",hu,https://www.themoviedb.org/movie/1054283,N/A,Everyone
Red*cted,1448587,2025-03-20,0,"Thriller, Mystery, Crime, Drama","After the death of his sister, Harry Moore gets revenge on the man responsible for ending her life.",en,https://www.themoviedb.org/movie/1448587,N/A,Everyone
